File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.51s, Total samples = 66.38s (4393.35%)
Showing nodes accounting for 66.38s, 100% of 66.38s total
      flat  flat%   sum%        cum   cum%
    62.66s 94.40% 94.40%     62.66s 94.40%  runtime.usleep
         0     0% 94.40%     38.42s 57.88%  runtime.mcall
         0     0% 94.40%     38.42s 57.88%  runtime.park_m
         0     0% 94.40%     38.40s 57.85%  runtime.schedule
         0     0% 94.40%     38.38s 57.82%  runtime.findRunnable
     0.01s 0.015% 94.41%     36.29s 54.67%  runtime.stealWork
         0     0% 94.41%     36.28s 54.66%  runtime.runqgrab
         0     0% 94.41%     36.28s 54.66%  runtime.runqsteal
         0     0% 94.41%     27.94s 42.09%  runtime.lock2
         0     0% 94.41%     27.94s 42.09%  runtime.lockWithRank (inline)
         0     0% 94.41%     27.78s 41.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourceHits
         0     0% 94.41%     27.78s 41.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func4
         0     0% 94.41%     27.78s 41.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0% 94.41%     27.75s 41.80%  context.(*cancelCtx).Err
         0     0% 94.41%     26.38s 39.74%  runtime.osyield (inline)
         0     0% 94.41%     25.30s 38.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
         0     0% 94.41%     25.30s 38.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3
         0     0% 94.41%     25.30s 38.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3.1
         0     0% 94.41%     25.30s 38.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.func1
