File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.51s, Total samples = 72.70s (4811.45%)
Showing nodes accounting for 72.70s, 100% of 72.70s total
Showing top 100 nodes out of 115
      flat  flat%   sum%        cum   cum%
    67.46s 92.79% 92.79%     67.46s 92.79%  runtime.usleep
     4.85s  6.67% 99.46%      4.85s  6.67%  runtime.pthread_cond_wait
     0.12s  0.17% 99.63%      0.12s  0.17%  runtime.pthread_cond_signal
     0.08s  0.11% 99.74%      4.84s  6.66%  sync.(*Mutex).lockSlow
     0.02s 0.028% 99.77%      0.02s 0.028%  runtime.pthread_mutex_lock
     0.02s 0.028% 99.79%     39.22s 53.95%  runtime.stealWork
     0.02s 0.028% 99.82%      4.86s  6.69%  sync.(*Mutex).Lock (inline)
     0.01s 0.014% 99.83%      0.02s 0.028%  context.(*cancelCtx).Done
     0.01s 0.014% 99.85%     29.74s 40.91%  context.(*cancelCtx).Err
     0.01s 0.014% 99.86%      0.01s 0.014%  errors.Is
     0.01s 0.014% 99.88%      0.02s 0.028%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctAtomMatches
     0.01s 0.014% 99.89%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/query.failProjectionRead
     0.01s 0.014% 99.90%      0.01s 0.014%  io.ReadAtLeast
     0.01s 0.014% 99.92%      0.01s 0.014%  runtime.(*mspan).nextFreeIndex
     0.01s 0.014% 99.93%      0.01s 0.014%  runtime.duffzero
     0.01s 0.014% 99.94%      0.01s 0.014%  runtime.mapaccess1_faststr
     0.01s 0.014%   100%      0.01s 0.014%  runtime.nanotime1
     0.01s 0.014%   100%      0.01s 0.014%  runtime.step
     0.01s 0.014%   100%     24.99s 34.37%  sync.(*Mutex).Unlock (inline)
     0.01s 0.014%   100%      0.01s 0.014%  sync/atomic.(*Value).Load
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0%   100%      0.02s 0.028%  github.com/johnsonlee/graphite/graphite-server/internal/query.distinctVisibleKey
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
