File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.61s, Total samples = 48.76s (3026.89%)
Showing nodes accounting for 48.76s, 100% of 48.76s total
      flat  flat%   sum%        cum   cum%
    45.91s 94.16% 94.16%     45.91s 94.16%  runtime.usleep
         0     0% 94.16%     30.25s 62.04%  runtime.findRunnable
         0     0% 94.16%     30.25s 62.04%  runtime.mcall
         0     0% 94.16%     30.25s 62.04%  runtime.park_m
         0     0% 94.16%     30.25s 62.04%  runtime.schedule
     0.01s 0.021% 94.18%     28.48s 58.41%  runtime.stealWork
         0     0% 94.18%     28.47s 58.39%  runtime.runqgrab
         0     0% 94.18%     28.47s 58.39%  runtime.runqsteal
         0     0% 94.18%     18.32s 37.57%  runtime.lock2
         0     0% 94.18%     18.32s 37.57%  runtime.lockWithRank (inline)
         0     0% 94.18%     18.28s 37.49%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourceHits
         0     0% 94.18%     18.28s 37.49%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func4
         0     0% 94.18%     18.28s 37.49%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0% 94.18%     18.15s 37.22%  context.(*cancelCtx).Err
         0     0% 94.18%     17.44s 35.77%  runtime.osyield (inline)
         0     0% 94.18%     15.99s 32.79%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
         0     0% 94.18%     15.98s 32.77%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3
         0     0% 94.18%     15.98s 32.77%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3.1
         0     0% 94.18%     15.98s 32.77%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.func1
     0.01s 0.021% 94.20%     14.49s 29.72%  sync.runtime_Semrelease
         0     0% 94.20%     14.48s 29.70%  runtime.semrelease1
     0.01s 0.021% 94.22%     14.39s 29.51%  sync.(*Mutex).Unlock (inline)
         0     0% 94.22%     14.38s 29.49%  sync.(*Mutex).unlockSlow
         0     0% 94.22%     14.11s 28.94%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionPropertyStringID
     0.01s 0.021% 94.24%      3.85s  7.90%  sync.(*Mutex).Lock (inline)
     0.07s  0.14% 94.38%      3.84s  7.88%  sync.(*Mutex).lockSlow
