File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.82s, Total samples = 49.39s (2720.53%)
Showing nodes accounting for 49.39s, 100% of 49.39s total
Showing top 100 nodes out of 165
      flat  flat%   sum%        cum   cum%
    42.60s 86.25% 86.25%     42.60s 86.25%  runtime.usleep
     2.36s  4.78% 91.03%      2.36s  4.78%  runtime.pthread_cond_wait
     1.14s  2.31% 93.34%      1.14s  2.31%  runtime.madvise
     0.54s  1.09% 94.43%      1.84s  3.73%  runtime.scanobject
     0.33s  0.67% 95.10%      0.53s  1.07%  runtime.greyobject
     0.28s  0.57% 95.67%      0.39s  0.79%  runtime.findObject
     0.24s  0.49% 96.15%      0.24s  0.49%  runtime.pthread_kill
     0.22s  0.45% 96.60%      2.40s  4.86%  runtime.gcDrain
     0.22s  0.45% 97.04%      0.22s  0.45%  runtime.typePointers.nextFast (inline)
     0.18s  0.36% 97.41%      3.99s  8.08%  sync.(*Mutex).lockSlow
     0.11s  0.22% 97.63%      0.11s  0.22%  context.(*cancelCtx).Done
     0.10s   0.2% 97.83%      0.10s   0.2%  runtime.(*gcWork).tryGetFast (inline)
     0.09s  0.18% 98.02%      0.09s  0.18%  runtime.(*mspan).base (inline)
     0.09s  0.18% 98.20%      0.09s  0.18%  runtime.spanOf (inline)
     0.07s  0.14% 98.34%     15.96s 32.31%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.func1
     0.07s  0.14% 98.48%      0.07s  0.14%  runtime.(*mspan).heapBitsSmallForAddr
     0.06s  0.12% 98.60%      0.22s  0.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
     0.06s  0.12% 98.72%      0.13s  0.26%  runtime.(*mspan).typePointersOfUnchecked
     0.05s   0.1% 98.83%      0.05s   0.1%  runtime.pthread_cond_signal
     0.05s   0.1% 98.93%      0.05s   0.1%  runtime/internal/atomic.(*Int64).Add (inline)
     0.04s 0.081% 99.01%      0.04s 0.081%  runtime.chanrecv
     0.04s 0.081% 99.09%      0.05s   0.1%  runtime.typePointers.next
     0.03s 0.061% 99.15%      0.03s 0.061%  runtime.(*gcBits).bytep
     0.03s 0.061% 99.21%      0.03s 0.061%  runtime.cansemacquire
     0.03s 0.061% 99.27%      0.03s 0.061%  runtime.kevent
     0.03s 0.061% 99.33%     13.57s 27.48%  sync.(*Mutex).Unlock (inline)
     0.02s  0.04% 99.37%      0.04s 0.081%  errors.Is
     0.02s  0.04% 99.41%      0.02s  0.04%  errors.is
     0.02s  0.04% 99.45%      0.22s  0.45%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.Case
     0.02s  0.04% 99.49%      0.02s  0.04%  runtime.pageIndexOf
     0.02s  0.04% 99.53%      0.06s  0.12%  runtime.selectnbrecv
     0.01s  0.02% 99.55%     17.56s 35.55%  context.(*cancelCtx).Err
