  PID  %CPU %MEM COMM
    1   0.0  0.0 /sbin/launchd
  306   0.3  0.1 /usr/libexec/logd
  307   0.0  0.0 /usr/libexec/smd
  308   0.0  0.0 /usr/libexec/UserEventAgent
  310   0.0  0.0 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  311   0.0  0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  312   0.0  0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  315   0.0  0.0 /usr/sbin/systemstats
  317   0.0  0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  318   0.0  0.0 /usr/libexec/configd
  319   0.0  0.0 endpointsecurityd
  320   0.0  0.0 /System/Library/CoreServices/powerd.bundle/powerd
  321   0.0  0.0 /usr/libexec/IOMFB_bics_daemon
  322   0.0  0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  324   0.0  0.0 /usr/libexec/amfid
  326   0.0  0.0 /usr/libexec/remoted
  328   0.0  0.0 /usr/libexec/keybagd
  331   0.0  0.0 /usr/libexec/watchdogd
  335   0.0  0.1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  336   0.0  0.0 /System/Library/CoreServices/iconservicesd
  337   0.0  0.0 /usr/libexec/kernelmanagerd
  338   0.0  0.0 /usr/libexec/diskarbitrationd
  341   0.0  0.0 /usr/libexec/coreduetd
  342   0.0  0.0 /usr/sbin/syslogd
  345   0.0  0.0 /usr/libexec/thermalmonitord
  346   0.0  0.1 /usr/libexec/opendirectoryd
  347   0.0  0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  348   0.0  0.0 /System/Library/CoreServices/launchservicesd
  349   0.0  0.0 /usr/libexec/timed
  350   0.0  0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  351   0.0  0.0 /usr/sbin/securityd
  353   1.3  0.0 /usr/libexec/locationd
  355   0.0  0.0 autofsd
  356   0.0  0.0 /usr/libexec/dasd
  358   0.0  0.0 /usr/sbin/distnoted
  359   0.0  0.0 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  362   0.0  0.0 /System/Library/CoreServices/logind
  363   0.0  0.0 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  364   0.0  0.0 /usr/sbin/KernelEventAgent
  365   0.0  0.0 /usr/libexec/usermanagerd
  367   2.1  0.1 /usr/sbin/bluetoothd
  368   0.0  0.0 /usr/sbin/notifyd
  369   0.0  0.0 /usr/libexec/sandboxd
  370   0.0  0.0 /usr/libexec/corebrightnessd
  371   0.0  0.0 /usr/libexec/AirPlayXPCHelper
  372   0.0  0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  373   0.0  0.0 /usr/libexec/logd_helper
  374   0.0  0.1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  375   0.0  0.0 /usr/sbin/cfprefsd
  376   0.0  0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  377   0.0  0.1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  378   0.0  0.0 aslmanager
  379   0.0  0.0 /usr/libexec/runningboardd
  380   0.0  0.0 /usr/libexec/lsd
  381   0.0  0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  382   0.0  0.0 /System/Library/CoreServices/coreservicesd
  405   0.0  0.0 /usr/sbin/coreaudiod
  415   0.0  0.0 /usr/libexec/trustd
  416   0.0  0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  421   0.0  0.0 /usr/sbin/distnoted
  426   0.0  0.0 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
  427   0.0  0.0 /usr/libexec/PowerUIAgent
  428   0.0  0.0 /System/Library/CoreServices/liquiddetectiond
