File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 2.61s, Total samples = 51.70s (1979.82%)
Showing nodes accounting for 51.70s, 100% of 51.70s total
Showing top 100 nodes out of 136
      flat  flat%   sum%        cum   cum%
       48s 92.84% 92.84%        48s 92.84%  runtime.usleep
     2.40s  4.64% 97.49%      2.40s  4.64%  runtime.pthread_cond_wait
     0.14s  0.27% 97.76%      0.15s  0.29%  runtime.mapaccess2_fast32
     0.12s  0.23% 97.99%      0.12s  0.23%  runtime.pthread_cond_signal
     0.11s  0.21% 98.20%      5.53s 10.70%  sync.(*Mutex).lockSlow
     0.08s  0.15% 98.36%      0.08s  0.15%  context.(*cancelCtx).Done
     0.08s  0.15% 98.51%      0.08s  0.15%  runtime.duffcopy
     0.08s  0.15% 98.67%      0.08s  0.15%  runtime.memmove
     0.07s  0.14% 98.80%      0.19s  0.37%  internal/reflectlite.typedmemmove
     0.07s  0.14% 98.94%      0.07s  0.14%  runtime.duffzero
     0.05s 0.097% 99.03%      0.05s 0.097%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).scalarBytes
     0.05s 0.097% 99.13%      0.05s 0.097%  unicode/utf8.ValidString
     0.04s 0.077% 99.21%      0.24s  0.46%  internal/reflectlite.Swapper.func9
     0.04s 0.077% 99.28%      0.12s  0.23%  runtime.typedmemmove
     0.03s 0.058% 99.34%     17.01s 32.90%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
     0.02s 0.039% 99.38%      0.03s 0.058%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
     0.02s 0.039% 99.42%      0.02s 0.039%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows.func1
     0.02s 0.039% 99.46%      0.02s 0.039%  runtime.chanrecv
     0.02s 0.039% 99.50%      0.06s  0.12%  runtime.mallocgc
     0.02s 0.039% 99.54%      0.25s  0.48%  sort.swapRange_func (inline)
     0.02s 0.039% 99.57%     11.88s 22.98%  sync.(*Mutex).Unlock (inline)
     0.01s 0.019% 99.59%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.clone
     0.01s 0.019% 99.61%      0.08s  0.15%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctAtomMatches
     0.01s 0.019% 99.63%      0.10s  0.19%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionNodeOrder
     0.01s 0.019% 99.65%      0.04s 0.077%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).str
     0.01s 0.019% 99.67%      0.01s 0.019%  internal/reflectlite.add
     0.01s 0.019% 99.69%      0.01s 0.019%  runtime.(*mheap).setSpans
     0.01s 0.019% 99.71%      0.01s 0.019%  runtime.(*mspan).heapBits
     0.01s 0.019% 99.73%      0.02s 0.039%  runtime.(*mspan).writeHeapBitsSmall
     0.01s 0.019% 99.75%      0.01s 0.019%  runtime.(*randomEnum).position
     0.01s 0.019% 99.77%      0.01s 0.019%  runtime.cansemacquire
     0.01s 0.019% 99.79%     33.15s 64.12%  runtime.findRunnable
     0.01s 0.019% 99.81%      0.03s 0.058%  runtime.heapSetType
     0.01s 0.019% 99.83%      0.01s 0.019%  runtime.memhash32
     0.01s 0.019% 99.85%      0.01s 0.019%  runtime.nanotime1
     0.01s 0.019% 99.86%      0.01s 0.019%  runtime.procyield
     0.01s 0.019% 99.88%      0.01s 0.019%  runtime.pthread_mutex_unlock
     0.01s 0.019% 99.90%      0.01s 0.019%  runtime/pprof.mach_vm_region
     0.01s 0.019% 99.92%      0.02s 0.039%  sort.insertionSort_func
     0.01s 0.019% 99.94%      0.26s   0.5%  sort.rotate_func
     0.01s 0.019%   100%      0.29s  0.56%  sort.symMerge_func
     0.01s 0.019%   100%      5.54s 10.72%  sync.(*Mutex).Lock (inline)
     0.01s 0.019%   100%      0.01s 0.019%  unicode/utf8.DecodeRuneInString
         0     0%   100%     17.35s 33.56%  context.(*cancelCtx).Err
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.UTF16
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0%   100%      0.04s 0.077%  github.com/johnsonlee/graphite/graphite-server/internal/query.NodeProperty
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.distinctVisibleKey
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%      0.12s  0.23%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRange
         0     0%   100%      1.33s  2.57%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows
         0     0%   100%      0.12s  0.23%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows.func1
         0     0%   100%      0.10s  0.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows.func2
         0     0%   100%     18.33s 35.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourceHits
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourcePrefix
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctStringTableID
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct
         0     0%   100%     18.33s 35.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func4
         0     0%   100%      0.05s 0.097%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.stringPredicate
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.javaUTF16
         0     0%   100%     18.33s 35.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0%   100%     16.37s 31.66%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).CandidateNode
         0     0%   100%      0.30s  0.58%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).Node
         0     0%   100%      1.30s  2.51%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionString
         0     0%   100%      0.12s  0.23%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionStringIDs
         0     0%   100%      0.14s  0.27%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).prepareProjectionOffsets
         0     0%   100%      0.03s 0.058%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).i32
         0     0%   100%      0.05s 0.097%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
