File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 2.51s, Total samples = 40.65s (1618.81%)
Showing nodes accounting for 40.65s, 100% of 40.65s total
Showing top 100 nodes out of 141
      flat  flat%   sum%        cum   cum%
    36.85s 90.65% 90.65%     36.85s 90.65%  runtime.usleep
     2.27s  5.58% 96.24%      2.28s  5.61%  runtime.pthread_cond_wait
     0.16s  0.39% 96.63%      3.20s  7.87%  sync.(*Mutex).lockSlow
     0.13s  0.32% 96.95%      0.13s  0.32%  runtime.memmove
     0.11s  0.27% 97.22%      0.11s  0.27%  runtime.mapaccess2_fast32
     0.11s  0.27% 97.49%      0.11s  0.27%  runtime.pthread_cond_signal
     0.09s  0.22% 97.71%      0.09s  0.22%  runtime.duffcopy
     0.08s   0.2% 97.91%      0.18s  0.44%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
     0.07s  0.17% 98.08%      0.07s  0.17%  runtime.duffzero
     0.06s  0.15% 98.23%      0.19s  0.47%  runtime.typedmemmove
     0.05s  0.12% 98.35%      0.05s  0.12%  context.(*cancelCtx).Done
     0.04s 0.098% 98.45%      0.23s  0.57%  internal/reflectlite.typedmemmove
     0.04s 0.098% 98.55%      0.04s 0.098%  runtime.procyield
     0.04s 0.098% 98.65%      3.24s  7.97%  sync.(*Mutex).Lock (inline)
     0.03s 0.074% 98.72%      0.12s   0.3%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctAtomMatches
     0.03s 0.074% 98.79%      0.17s  0.42%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionNodeOrder
     0.03s 0.074% 98.87%      0.26s  0.64%  internal/reflectlite.Swapper.func9
     0.03s 0.074% 98.94%      0.07s  0.17%  runtime.mallocgc
     0.03s 0.074% 99.02%      0.29s  0.71%  sort.swapRange_func (inline)
     0.03s 0.074% 99.09%      8.22s 20.22%  sync.(*Mutex).Unlock (inline)
     0.03s 0.074% 99.16%      8.19s 20.15%  sync.(*Mutex).unlockSlow
     0.02s 0.049% 99.21%     11.23s 27.63%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
     0.02s 0.049% 99.26%      0.02s 0.049%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).scalarBytes
     0.02s 0.049% 99.31%      0.03s 0.074%  runtime.chanrecv
     0.02s 0.049% 99.36%      0.31s  0.76%  sort.rotate_func
     0.02s 0.049% 99.41%      0.34s  0.84%  sort.symMerge_func
     0.02s 0.049% 99.46%      0.02s 0.049%  unicode/utf8.ValidString
     0.01s 0.025% 99.48%      0.01s 0.025%  fmt.(*buffer).writeString
     0.01s 0.025% 99.51%      0.03s 0.074%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
     0.01s 0.025% 99.53%      0.01s 0.025%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows.func1
     0.01s 0.025% 99.56%      0.08s   0.2%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.stringPredicate
     0.01s 0.025% 99.58%      0.01s 0.025%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).count
     0.01s 0.025% 99.61%      0.03s 0.074%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).i32
