File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 3.52s, Total samples = 53.84s (1531.01%)
Showing nodes accounting for 53.84s, 100% of 53.84s total
Showing top 100 nodes out of 219
      flat  flat%   sum%        cum   cum%
    45.90s 85.25% 85.25%     45.90s 85.25%  runtime.usleep
     3.31s  6.15% 91.40%      3.31s  6.15%  runtime.pthread_cond_wait
     0.61s  1.13% 92.53%      2.23s  4.14%  runtime.scanobject
     0.34s  0.63% 93.16%      0.82s  1.52%  runtime.greyobject
     0.25s  0.46% 93.63%      0.36s  0.67%  runtime.findObject
     0.25s  0.46% 94.09%      0.25s  0.46%  runtime.pthread_kill
     0.23s  0.43% 94.52%      2.68s  4.98%  runtime.gcDrain
     0.20s  0.37% 94.89%      0.20s  0.37%  runtime.typePointers.nextFast (inline)
     0.18s  0.33% 95.23%      0.18s  0.33%  runtime.pthread_cond_signal
     0.17s  0.32% 95.54%      0.17s  0.32%  runtime.(*mspan).base (inline)
     0.16s   0.3% 95.84%      0.22s  0.41%  context.(*cancelCtx).Done
     0.15s  0.28% 96.12%      5.96s 11.07%  sync.(*Mutex).lockSlow
     0.14s  0.26% 96.38%      0.14s  0.26%  runtime.(*gcBits).bytep (inline)
     0.11s   0.2% 96.58%      0.11s   0.2%  runtime.memmove
     0.11s   0.2% 96.79%      0.15s  0.28%  runtime.typePointers.next
     0.10s  0.19% 96.97%      0.19s  0.35%  runtime.typedmemmove
     0.07s  0.13% 97.10%      0.21s  0.39%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
     0.07s  0.13% 97.23%      0.07s  0.13%  runtime.(*mspan).heapBitsSmallForAddr
     0.07s  0.13% 97.36%      0.10s  0.19%  runtime.mapaccess2_fast32
     0.07s  0.13% 97.49%      0.07s  0.13%  runtime.spanOf (inline)
     0.07s  0.13% 97.62%     10.66s 19.80%  sync.(*Mutex).Unlock (inline)
     0.06s  0.11% 97.73%      0.25s  0.46%  internal/reflectlite.typedmemmove
     0.06s  0.11% 97.85%      0.06s  0.11%  runtime.duffcopy
     0.06s  0.11% 97.96%      0.06s  0.11%  sync/atomic.(*Value).Load (inline)
     0.05s 0.093% 98.05%      0.24s  0.45%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.Case
     0.05s 0.093% 98.14%      0.15s  0.28%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
     0.05s 0.093% 98.24%      0.12s  0.22%  runtime.(*mspan).typePointersOfUnchecked
     0.05s 0.093% 98.33%      0.05s 0.093%  runtime.duffzero
     0.04s 0.074% 98.40%      0.05s 0.093%  runtime.chanrecv
     0.04s 0.074% 98.48%      0.04s 0.074%  runtime.kevent
     0.03s 0.056% 98.53%     16.71s 31.04%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
     0.03s 0.056% 98.59%      0.03s 0.056%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
     0.03s 0.056% 98.64%      0.28s  0.52%  internal/reflectlite.Swapper.func9
     0.03s 0.056% 98.70%      0.03s 0.056%  runtime.(*gcWork).putFast
     0.03s 0.056% 98.76%      0.03s 0.056%  runtime.madvise
     0.03s 0.056% 98.81%      0.08s  0.15%  runtime.mallocgc
     0.03s 0.056% 98.87%      0.03s 0.056%  runtime.memhash32
     0.03s 0.056% 98.92%      0.03s 0.056%  runtime.pageIndexOf
     0.03s 0.056% 98.98%      0.03s 0.056%  runtime.readUintptr
     0.03s 0.056% 99.03%      0.08s  0.15%  runtime.selectnbrecv
     0.03s 0.056% 99.09%      0.30s  0.56%  sort.swapRange_func (inline)
     0.02s 0.037% 99.13%      0.06s  0.11%  gcWriteBarrier
     0.02s 0.037% 99.16%      0.02s 0.037%  runtime.(*gcWork).tryGetFast
     0.02s 0.037% 99.20%      0.02s 0.037%  runtime.(*mspan).divideByElemSize
     0.02s 0.037% 99.24%      0.02s 0.037%  runtime.markBits.setMarked
     0.02s 0.037% 99.28%     28.92s 53.71%  runtime.stealWork
