File: graphite-benchmark-profile
Type: inuse_space
Time: Sep 8, 2026 at 3:24pm (KST)
Showing nodes accounting for 11271.64MB, 99.39% of 11341.37MB total
Dropped 126 nodes (cum <= 56.71MB)
      flat  flat%   sum%        cum   cum%
 5184.22MB 45.71% 45.71%  5184.22MB 45.71%  os.ReadFile
 4069.09MB 35.88% 81.59%  4069.09MB 35.88%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).loadEdges
  954.73MB  8.42% 90.01%   954.73MB  8.42%  github.com/johnsonlee/graphite/graphite-server/internal/store.OpenMode.func2
  473.94MB  4.18% 94.19%   786.14MB  6.93%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).metadata
  145.52MB  1.28% 95.47%   145.52MB  1.28%  github.com/johnsonlee/graphite/graphite-server/internal/store.MethodDescriptor.Signature (inline)
  102.53MB   0.9% 96.37%   102.53MB   0.9%  unicode/utf8.AppendRune (inline)
     100MB  0.88% 97.25%      100MB  0.88%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).match
   69.50MB  0.61% 97.87%    71.50MB  0.63%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
   68.02MB   0.6% 98.47%    75.52MB  0.67%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).ids
   62.07MB  0.55% 99.01%    62.07MB  0.55%  github.com/johnsonlee/graphite/graphite-server/internal/store.OpenMode.func4
   37.51MB  0.33% 99.35%   140.05MB  1.23%  github.com/johnsonlee/graphite/graphite-server/internal/store.decodeStringRecords[go.shape.uint16]
       3MB 0.026% 99.37%   116.51MB  1.03%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*Pattern).MatchesContext
    1.50MB 0.013% 99.39%  6014.07MB 53.03%  github.com/johnsonlee/graphite/graphite-server/internal/store.OpenMode
         0     0% 99.39%    97.50MB  0.86%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).sequence
         0     0% 99.39%       95MB  0.84%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).sequence.func1
         0     0% 99.39%       95MB  0.84%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).simpleRepeat
         0     0% 99.39%   134.82MB  1.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0% 99.39%   119.01MB  1.05%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.binary
         0     0% 99.39%   134.82MB  1.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0% 99.39%   119.01MB  1.05%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.eval
         0     0% 99.39%   131.56MB  1.16%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.lazyFiltered
         0     0% 99.39%  5184.73MB 45.72%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainCandidateIterator
         0     0% 99.39%  5184.73MB 45.72%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryCandidateIterator
         0     0% 99.39%  5181.97MB 45.69%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryProjection.func1
         0     0% 99.39%  5184.73MB 45.72%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinarySourceRows
         0     0% 99.39%   116.51MB  1.03%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.regexMatch
         0     0% 99.39%   134.82MB  1.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0% 99.39%  5181.97MB 45.69%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.[]map[string]interface {}].func1.1
         0     0% 99.39%  5185.23MB 45.72%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).PrepareDistinctStringIndex
         0     0% 99.39%  5184.22MB 45.71%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).prepareProjectionOffsets
         0     0% 99.39%   140.05MB  1.23%  github.com/johnsonlee/graphite/graphite-server/internal/store.LoadStrings
         0     0% 99.39%   102.53MB   0.9%  github.com/johnsonlee/graphite/graphite-server/internal/store.LoadStrings.func1
         0     0% 99.39%   786.14MB  6.93%  github.com/johnsonlee/graphite/graphite-server/internal/store.OpenMode.func3
         0     0% 99.39%  6014.07MB 53.03%  github.com/johnsonlee/graphite/graphite-server/internal/store.OpenModeWithOptions
         0     0% 99.39%  1802.94MB 15.90%  github.com/johnsonlee/graphite/graphite-server/internal/store.decodeFile
         0     0% 99.39%   102.53MB   0.9%  github.com/johnsonlee/graphite/graphite-server/internal/store.stringFromUTF16
         0     0% 99.39%  6022.03MB 53.10%  main.main
         0     0% 99.39%   134.82MB  1.19%  main.newWorker.func1
         0     0% 99.39%  6022.03MB 53.10%  main.run
         0     0% 99.39%  6022.56MB 53.10%  runtime.main
         0     0% 99.39%   102.53MB   0.9%  strings.(*Builder).WriteRune
