File: graphite-benchmark-profile
Type: alloc_space
Time: Sep 8, 2026 at 3:24pm (KST)
Showing nodes accounting for 16339.56MB, 100% of 16339.56MB total
Showing top 100 nodes out of 143
      flat  flat%   sum%        cum   cum%
 5441.17MB 33.30% 33.30%  5441.17MB 33.30%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).match
 5135.77MB 31.43% 64.73%  8625.65MB 52.79%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctGenericRows
 1714.61MB 10.49% 75.23%  1830.11MB 11.20%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
 1032.52MB  6.32% 81.54%  1032.52MB  6.32%  github.com/johnsonlee/graphite/graphite-server/internal/query.NodeProperty
  661.63MB  4.05% 85.59%   661.63MB  4.05%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.decodeJavaString
  360.06MB  2.20% 87.80%   360.06MB  2.20%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).NodesOfKind (inline)
  346.52MB  2.12% 89.92%   346.52MB  2.12%  strings.(*Builder).grow
  345.54MB  2.11% 92.03%   520.55MB  3.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.key
  250.01MB  1.53% 93.56%   250.01MB  1.53%  bytes.NewReader (inline)
     207MB  1.27% 94.83%      207MB  1.27%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).bytes
  154.01MB  0.94% 95.77%   154.01MB  0.94%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionCandidateNode.func4
  119.53MB  0.73% 96.50%   119.53MB  0.73%  github.com/johnsonlee/graphite/graphite-server/internal/query.clone (inline)
  110.51MB  0.68% 97.18%   110.51MB  0.68%  strconv.quoteWith (inline)
      97MB  0.59% 97.77%  6199.79MB 37.94%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*Pattern).MatchesContext
   89.51MB  0.55% 98.32%    89.51MB  0.55%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.UTF16
   68.84MB  0.42% 98.74%    68.84MB  0.42%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*CallSiteStringIndex).Directory
      54MB  0.33% 99.07%       54MB  0.33%  fmt.Sprintf
   29.93MB  0.18% 99.26%    29.93MB  0.18%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).NodeIDs (inline)
      25MB  0.15% 99.41%   778.03MB  4.76%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionCandidateNode
   17.50MB  0.11% 99.52%       18MB  0.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.addProvenance
   16.20MB 0.099% 99.62%   440.41MB  2.70%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows
    9.01MB 0.055% 99.67%    77.51MB  0.47%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRange
    5.02MB 0.031% 99.70%     5.02MB 0.031%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*CallSiteStringIndex).TrigramStringIDs
       5MB 0.031% 99.73%        5MB 0.031%  math/big.nat.make
    4.16MB 0.025% 99.76%     4.16MB 0.025%  strings.(*Builder).WriteString
       4MB 0.024% 99.78%        4MB 0.024%  runtime/pprof.allFrames
    3.51MB 0.021% 99.80%  6020.98MB 36.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourceHits
