File: profile-query
Type: cpu
Time: Sep 7, 2026 at 8:26am (KST)
Duration: 6.11s, Total samples = 5.49s (89.83%)
Showing nodes accounting for 5.26s, 95.81% of 5.49s total
Dropped 42 nodes (cum <= 0.03s)
Showing top 25 nodes out of 73
      flat  flat%   sum%        cum   cum%
     4.18s 76.14% 76.14%      4.18s 76.14%  runtime.madvise
     0.11s  2.00% 78.14%      0.11s  2.00%  runtime.duffcopy
     0.11s  2.00% 80.15%      0.11s  2.00%  runtime.mapaccess2_fast32
     0.10s  1.82% 81.97%      0.10s  1.82%  runtime.pthread_cond_signal
     0.09s  1.64% 83.61%      0.09s  1.64%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check (partial-inline)
     0.08s  1.46% 85.06%      0.17s  3.10%  sort.partition_func
     0.07s  1.28% 86.34%      0.18s  3.28%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.Case
     0.06s  1.09% 87.43%      0.06s  1.09%  runtime.memmove
     0.05s  0.91% 88.34%      0.05s  0.91%  runtime.duffzero
     0.05s  0.91% 89.25%      0.18s  3.28%  runtime.mallocgc
     0.04s  0.73% 89.98%      0.07s  1.28%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedNodeWalker.func1
     0.04s  0.73% 90.71%      0.05s  0.91%  runtime.nextFreeFast (inline)
     0.03s  0.55% 91.26%      0.34s  6.19%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.eval
     0.03s  0.55% 91.80%      0.70s 12.75%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedNodeWalker
     0.03s  0.55% 92.35%      0.03s  0.55%  runtime.deductAssistCredit
     0.03s  0.55% 92.90%      0.05s  0.91%  runtime.mapassign_fast32
     0.03s  0.55% 93.44%      0.06s  1.09%  strings.ToLower
     0.02s  0.36% 93.81%      0.05s  0.91%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*CallSiteStringIndex).Postings
     0.02s  0.36% 94.17%      0.17s  3.10%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).RawCallSiteStringIDs
     0.02s  0.36% 94.54%      0.03s  0.55%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).str
     0.02s  0.36% 94.90%      0.04s  0.73%  io.ReadAtLeast
     0.02s  0.36% 95.26%      0.03s  0.55%  runtime.mapiternext
     0.01s  0.18% 95.45%      0.03s  0.55%  internal/reflectlite.Swapper.func9
     0.01s  0.18% 95.63%      0.04s  0.73%  runtime.typedmemmove
     0.01s  0.18% 95.81%      0.03s  0.55%  runtime.unlock2
