gc 1 @0.004s 1%: 0.022+0.63+0.019 ms clock, 0.35+0.075/0.84/0.16+0.31 ms cpu, 4->4->3 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @0.024s 0%: 0.003+0.45+0.012 ms clock, 0.062+0.062/0.51/0.029+0.20 ms cpu, 8->8->3 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @0.031s 0%: 0.004+0.40+0.014 ms clock, 0.068+0.051/0.55/0.029+0.22 ms cpu, 6->6->4 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @0.039s 0%: 0.004+0.54+0.004 ms clock, 0.070+0.35/0.36/0+0.073 ms cpu, 8->8->3 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @0.043s 0%: 0.003+0.62+0.012 ms clock, 0.050+0.053/0.64/0+0.19 ms cpu, 7->8->5 MB, 7 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @0.049s 0%: 0.002+0.45+0.011 ms clock, 0.047+0.12/0.52/0+0.18 ms cpu, 11->11->7 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @0.054s 0%: 0.003+0.54+0.012 ms clock, 0.050+0.038/0.61/0.023+0.19 ms cpu, 15->15->13 MB, 15 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @0.064s 0%: 0.003+0.40+0.014 ms clock, 0.058+0.064/0.61/0.023+0.22 ms cpu, 31->31->23 MB, 31 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @0.090s 0%: 0.007+1.2+0.015 ms clock, 0.12+0.081/3.5/0.064+0.24 ms cpu, 46->47->27 MB, 47 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @0.121s 0%: 0.010+1.8+0.020 ms clock, 0.17+0.069/6.0/4.6+0.32 ms cpu, 59->60->46 MB, 59 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @0.162s 1%: 0.014+2.2+0.012 ms clock, 0.23+0.048/8.0/14+0.20 ms cpu, 91->92->72 MB, 94 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @0.224s 1%: 0.020+6.0+0.003 ms clock, 0.33+3.5/23/54+0.060 ms cpu, 151->151->132 MB, 151 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @0.363s 1%: 0.018+7.0+0.018 ms clock, 0.29+0.045/26/64+0.29 ms cpu, 252->254->155 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @0.497s 1%: 0.019+13+0.021 ms clock, 0.30+0.036/52/131+0.34 ms cpu, 298->304->236 MB, 311 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @0.697s 1%: 0.019+20+0.015 ms clock, 0.30+0.23/76/192+0.24 ms cpu, 458->461->362 MB, 473 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @1.040s 1%: 0.019+24+0.016 ms clock, 0.31+0.10/97/261+0.26 ms cpu, 690->703->491 MB, 725 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @1.481s 1%: 0.017+36+0.010 ms clock, 0.28+0.059/143/381+0.16 ms cpu, 944->955->711 MB, 984 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @2.144s 1%: 0.023+54+0.18 ms clock, 0.37+0.034/216/565+2.9 ms cpu, 1355->1390->1050 MB, 1424 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @3.111s 1%: 0.021+75+0.027 ms clock, 0.35+0.048/296/787+0.44 ms cpu, 1978->2007->1499 MB, 2100 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @4.559s 1%: 0.023+108+0.012 ms clock, 0.37+0.20/427/1148+0.19 ms cpu, 2820->2883->2165 MB, 2999 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @6.769s 1%: 0.026+157+0.011 ms clock, 0.42+0.041/617/1649+0.17 ms cpu, 4071->4131->3074 MB, 4332 MB goal, 0 MB stacks, 0 MB globals, 16 P
