index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
0	request-selected-set-wrapped-contains-k64-group-00-zero	success	183.979625	269.590417	170.05075	280.811166	11.220749
1	single-contains-unlabeled-zero	success	3.157708	1.21625	3.128708	1.183875	-0.032375
2	single-contains-unlabeled-targeted	success	19.758334	4.969875	18.235459	5.043083	0.073208
3	single-contains-unlabeled-dense	success	119.715042	14.456417	119.475167	15.676833	1.220416
4	class-contains-or-unlabeled-zero	success	2.647458	2.219459	3.263917	2.246458	0.026999
5	class-contains-or-unlabeled-targeted	success	114.324625	241.611375	143.249292	232.368209	-9.243166
6	class-contains-or-unlabeled-dense	success	81.968708	963.899958	86.12075	923.271542	-40.628416
7	name-contains-or-unlabeled-zero	success	1.575042	1.530875	1.423458	1.577041	0.046166
8	name-contains-or-unlabeled-targeted	success	20.254375	32.011042	25.414583	29.770666	-2.240376
9	name-contains-or-unlabeled-dense	success	1.10425	0.59725	0.9935	0.565417	-0.031833
10	four-contains-or-unlabeled-zero	success	1.612166	2.261291	1.772083	2.216416	-0.044875
11	four-contains-or-unlabeled-targeted	success	1.096875	0.721916	1.838792	0.753333	0.031417
12	four-contains-or-unlabeled-dense	success	4.247667	2.632917	4.499791	2.660334	0.027417
13	four-contains-or-labeled-zero	success	1.676583	2.226959	1.516875	2.3775	0.150541
14	four-contains-or-labeled-targeted	success	9.20725	11.473708	9.418708	11.821042	0.347334
15	four-contains-or-labeled-dense	success	0.826084	0.590166	0.811958	0.485625	-0.104541
16	starts-or-raw-zero	success	139.383625	218.783875	106.052083	219.648125	0.86425
17	starts-or-raw-targeted	success	40.468125	61.068916	20.67675	71.391625	10.322709
18	starts-or-raw-dense	success	0.631667	0.8915	0.582584	0.905333	0.013833
19	ends-or-raw-zero	success	140.554834	217.996791	180.573583	183.900459	-34.096332
20	ends-or-raw-targeted	success	22.771333	185.068625	22.94775	187.202958	2.134333
21	ends-or-raw-dense	success	1.959959	2.173583	1.826959	2.184541	0.010958
22	starts-or-wrapped-zero	success	122.135292	611.325875	133.611541	610.525709	-0.800166
23	starts-or-wrapped-targeted	success	191.902958	631.058667	183.095625	618.280125	-12.778542
24	starts-or-wrapped-dense	success	136.359542	595.069583	200.949833	597.541875	2.472292
25	ends-or-wrapped-zero	success	31.52675	613.545166	28.992584	624.001958	10.456792
26	ends-or-wrapped-targeted	success	30.278208	619.873916	30.8065	667.045959	47.172043
27	ends-or-wrapped-dense	success	144.326833	997.446833	146.707834	963.875	-33.571833
28	contains-or-wrapped-zero	success	0.937875	11.093875	0.875834	11.404417	0.310542
29	contains-or-wrapped-targeted	success	14.305417	267.02325	13.923375	263.963875	-3.059375
