index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
0	request-selected-set-wrapped-contains-k64-group-00-zero	graph-set-reference	request-selected-set-wrapped-contains	success	1	successful-latency	170050750	280811166	0.6055697585757683	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
1	single-contains-unlabeled-zero	contains	single-contains-unlabeled	success	1	successful-latency	3128708	1183875	2.64276887340302	0	49	3ac63634ef061bbfd710d08a2153c866385b655741559497d76793f6c8d76e1a				
2	single-contains-unlabeled-targeted	contains	single-contains-unlabeled	success	1	successful-latency	18235459	5043083	3.615934736747343	200	46966	187a62814fc87275955331a4cde38a147e1075c02ad5783005edd39f361863c0				
3	single-contains-unlabeled-dense	contains	single-contains-unlabeled	success	1	successful-latency	119475167	15676833	7.621129025231053	200	43486	f04c68d9d3fe27750516e393271bda65227db7f5fdf116b9a10f7b3d7d4068ff				
4	class-contains-or-unlabeled-zero	contains	class-contains-or-unlabeled	success	1	successful-latency	3263917	2246458	1.4529169919936185	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
5	class-contains-or-unlabeled-targeted	contains	class-contains-or-unlabeled	success	1	successful-latency	143249292	232368209	0.6164754318866399	200	83519	53f0c918dbe233f05eefcdf3e11b20da968aac6c4c4aa519a060b127d565daba				
6	class-contains-or-unlabeled-dense	contains	class-contains-or-unlabeled	success	1	successful-latency	86120750	923271542	0.09327781273691635	200	84622	c137e7938bacc81b3aa1233c728d8500839ed0ca85735ef7a589c901721364e1				
7	name-contains-or-unlabeled-zero	contains	name-contains-or-unlabeled	success	1	successful-latency	1423458	1577041	0.9026131850725504	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
8	name-contains-or-unlabeled-targeted	contains	name-contains-or-unlabeled	success	1	successful-latency	25414583	29770666	0.8536786849175628	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
9	name-contains-or-unlabeled-dense	contains	name-contains-or-unlabeled	success	1	successful-latency	993500	565417	1.757110238991753	200	82000	2a7acbfb07e87af8a7af73cff4e8aed29a642ce9b7e5ca901f3385df7a2e2671				
10	four-contains-or-unlabeled-zero	contains	four-contains-or-unlabeled	success	1	successful-latency	1772083	2216416	0.799526352453691	0	173	21514b44bab7a7f1a700cdc7119f3ce1b4ea8304c84e402ddb5f9775b21dd8af				
11	four-contains-or-unlabeled-targeted	contains	four-contains-or-unlabeled	success	1	successful-latency	1838792	753333	2.440875416316556	200	112015	9f09930cd4aa7572add3e43b8434a4721a3b0f6622af359dc299310f9bbd7e96				
12	four-contains-or-unlabeled-dense	contains	four-contains-or-unlabeled	success	1	successful-latency	4499791	2660334	1.6914383682650374	200	99187	4288f8530cba49c2f9780fe900f62e94fc14fc44b47b140457d983d5fcd2dd5c				
13	four-contains-or-labeled-zero	contains	four-contains-or-labeled	success	1	successful-latency	1516875	2377500	0.63801261829653	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
14	four-contains-or-labeled-targeted	contains	four-contains-or-labeled	success	1	successful-latency	9418708	11821042	0.7967747682480106	200	86272	94ef562421942882b2562b2b8a3d6905607c166fc039d3daec1c50e988a8c0eb				
15	four-contains-or-labeled-dense	contains	four-contains-or-labeled	success	1	successful-latency	811958	485625	1.6719855855855856	200	82009	e65f72b24be32eccca575f0ae4151e8dee6e89e2971db9727071b046e14b3ea4				
16	starts-or-raw-zero	contains	starts-or-raw	success	1	successful-latency	106052083	219648125	0.48282717186864216	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
17	starts-or-raw-targeted	contains	starts-or-raw	success	1	successful-latency	20676750	71391625	0.2896243081734027	100	30972	a7b9846908febb502abd47dcc7269165df8c94605a7dcdc63931103d82b581a2				
18	starts-or-raw-dense	contains	starts-or-raw	success	1	successful-latency	582584	905333	0.6435024460612835	100	30214	0740bcf1983553477a227138dc3b3ed095f06c984728dcc1bbffb3b71959a13b				
19	ends-or-raw-zero	contains	ends-or-raw	success	1	successful-latency	180573583	183900459	0.9819093654355697	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
20	ends-or-raw-targeted	contains	ends-or-raw	success	1	successful-latency	22947750	187202958	0.12258219765950493	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
21	ends-or-raw-dense	contains	ends-or-raw	success	1	successful-latency	1826959	2184541	0.8363125251483035	100	26415	4293914be7e842e02606eeadfc7b0586191868e301451883db95dbd7efbd0963				
22	starts-or-wrapped-zero	wrapped	starts-or-wrapped	success	1	successful-latency	133611541	610525709	0.21884670707617981	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
23	starts-or-wrapped-targeted	wrapped	starts-or-wrapped	success	1	successful-latency	183095625	618280125	0.2961370058596013	100	33663	4019ab262ff47d06b6a1a9ec26de3964105a48177a5693ae58c1ccbe789292d6				
24	starts-or-wrapped-dense	wrapped	starts-or-wrapped	success	1	successful-latency	200949833	597541875	0.33629414340208375	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
25	ends-or-wrapped-zero	wrapped	ends-or-wrapped	success	1	successful-latency	28992584	624001958	0.0464623285685267	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
26	ends-or-wrapped-targeted	wrapped	ends-or-wrapped	success	1	successful-latency	30806500	667045959	0.04618347444332543	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
27	ends-or-wrapped-dense	wrapped	ends-or-wrapped	success	1	successful-latency	146707834	963875000	0.1522062860848139	100	27445	f69994db68ca9193f7b602b00273d35268080826366be899fd90877a4e6f4362				
28	contains-or-wrapped-zero	wrapped	contains-or-wrapped	success	1	successful-latency	875834	11404417	0.07679778808509019	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
