index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
0	request-selected-set-wrapped-contains-k64-group-00-zero	success	15.939084	79.090417	15.698917	76.027334	-3.063083
1	single-contains-unlabeled-zero	success	6.703792	1.630542	6.818583	1.814917	0.184375
2	single-contains-unlabeled-targeted	success	18.010666	71.971334	17.561375	72.570667	0.599333
3	single-contains-unlabeled-dense	success	53.159459	2.072625	65.900375	1.8215	-0.251125
4	class-contains-or-unlabeled-zero	success	3.770125	48.969792	3.636042	50.562708	1.592916
5	class-contains-or-unlabeled-targeted	success	140.654834	783.816375	173.675584	809.334958	25.518583
6	class-contains-or-unlabeled-dense	success	89.361875	646.363875	45.119333	618.368791	-27.995084
7	name-contains-or-unlabeled-zero	success	3.439167	1.66225	3.301167	1.502875	-0.159375
8	name-contains-or-unlabeled-targeted	success	32.527833	34.103083	34.952459	28.814583	-5.2885
9	name-contains-or-unlabeled-dense	success	1.114625	0.56625	1.101292	0.54525	-0.021
10	four-contains-or-unlabeled-zero	success	1.472958	2.168167	1.655042	2.342833	0.174666
11	four-contains-or-unlabeled-targeted	success	2.711709	0.756334	2.531708	0.7485	-0.007834
12	four-contains-or-unlabeled-dense	success	80.37375	2.585625	39.250167	2.56925	-0.016375
13	four-contains-or-labeled-zero	success	1.546	2.237292	1.745541	2.066125	-0.171167
14	four-contains-or-labeled-targeted	success	11.542375	11.674083	10.551	11.631	-0.043083
15	four-contains-or-labeled-dense	success	0.796084	0.482583	0.761334	0.485	0.002417
16	starts-or-raw-zero	success	136.609417	228.103833	123.5675	227.499	-0.604833
17	starts-or-raw-targeted	success	22.639875	64.953792	37.421208	61.758916	-3.194876
18	starts-or-raw-dense	success	0.594542	0.886458	0.537375	1.055125	0.168667
19	ends-or-raw-zero	success	83.927583	187.118083	58.433708	188.959667	1.841584
20	ends-or-raw-targeted	success	22.795834	190.675167	22.457792	188.373708	-2.301459
21	ends-or-raw-dense	success	13.645	2.183208	1.152667	2.586917	0.403709
22	starts-or-wrapped-zero	success	161.391084	565.7125	154.2855	594.058333	28.345833
23	starts-or-wrapped-targeted	success	106.38475	669.833875	89.492792	630.461916	-39.371959
24	starts-or-wrapped-dense	success	140.957875	592.290208	122.838834	598.038541	5.748333
25	ends-or-wrapped-zero	success	30.9315	615.336375	28.650042	646.431	31.094625
26	ends-or-wrapped-targeted	success	31.978875	614.002833	30.078625	624.308625	10.305792
27	ends-or-wrapped-dense	success	38.643084	1009.6195	34.265417	1043.667666	34.048166
28	contains-or-wrapped-zero	success	0.981958	11.76925	0.909875	12.056459	0.287209
29	contains-or-wrapped-targeted	success	16.488208	258.835708	13.336042	282.678666	23.842958
30	contains-or-wrapped-dense	success	28.502125	1038.725334	26.504625	1159.034584	120.30925
31	graph-id-property-wrapped-contains-target-00-zero	success	0.432959	1.758291	0.552792	1.784417	0.026126
