File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 12:23pm (KST)
Duration: 11.92s, Total samples = 9.74s (81.74%)
Showing nodes accounting for 9.28s, 95.28% of 9.74s total
Dropped 56 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0%     0%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%     0%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedNodeWalker
         0     0%     0%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.match
         0     0%     0%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchSingleNode
     0.04s  0.41%  0.41%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.prepareIndexedNodePositions
         0     0%  0.41%      9.25s 94.97%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0%  0.41%      9.25s 94.97%  main.newWorker.func1
         0     0%  0.41%      5.16s 52.98%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).CertifyCallSiteCandidates
     0.60s  6.16%  6.57%      5.16s 52.98%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).certifyCallSiteCandidates
         0     0%  6.57%      4.03s 41.38%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).CertifyCallSiteTrigrams
     0.01s   0.1%  6.67%      4.03s 41.38%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).certifyCallSiteTrigrams
     0.05s  0.51%  7.19%      2.99s 30.70%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).CandidateNode
     0.08s  0.82%  8.01%      2.62s 26.90%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).Node
     0.04s  0.41%  8.42%      2.51s 25.77%  github.com/johnsonlee/graphite/graphite-server/internal/store.lowerTrigramHashes
     0.16s  1.64% 10.06%      1.87s 19.20%  runtime.mallocgc
     0.11s  1.13% 11.19%      1.65s 16.94%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
     0.06s  0.62% 11.81%      1.45s 14.89%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*CallSiteStringIndex).containsTrigrams
