index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
0	request-selected-set-wrapped-contains-k64-group-00-zero	graph-set-reference	request-selected-set-wrapped-contains	success	1	successful-latency	183979625	269590417	0.6824412642234238	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
1	single-contains-unlabeled-zero	contains	single-contains-unlabeled	success	1	successful-latency	3157708	1216250	2.5962655704008224	0	49	3ac63634ef061bbfd710d08a2153c866385b655741559497d76793f6c8d76e1a				
2	single-contains-unlabeled-targeted	contains	single-contains-unlabeled	success	1	successful-latency	19758334	4969875	3.975619909957494	200	46966	187a62814fc87275955331a4cde38a147e1075c02ad5783005edd39f361863c0				
3	single-contains-unlabeled-dense	contains	single-contains-unlabeled	success	1	successful-latency	119715042	14456417	8.281100496755178	200	43486	f04c68d9d3fe27750516e393271bda65227db7f5fdf116b9a10f7b3d7d4068ff				
4	class-contains-or-unlabeled-zero	contains	class-contains-or-unlabeled	success	1	successful-latency	2647458	2219459	1.1928393360724392	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
5	class-contains-or-unlabeled-targeted	contains	class-contains-or-unlabeled	success	1	successful-latency	114324625	241611375	0.4731756731238337	200	83519	53f0c918dbe233f05eefcdf3e11b20da968aac6c4c4aa519a060b127d565daba				
6	class-contains-or-unlabeled-dense	contains	class-contains-or-unlabeled	success	1	successful-latency	81968708	963899958	0.08503860522006579	200	84622	c137e7938bacc81b3aa1233c728d8500839ed0ca85735ef7a589c901721364e1				
7	name-contains-or-unlabeled-zero	contains	name-contains-or-unlabeled	success	1	successful-latency	1575042	1530875	1.0288508206091287	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
8	name-contains-or-unlabeled-targeted	contains	name-contains-or-unlabeled	success	1	successful-latency	20254375	32011042	0.632730887048288	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
9	name-contains-or-unlabeled-dense	contains	name-contains-or-unlabeled	success	1	successful-latency	1104250	597250	1.848890749267476	200	82000	2a7acbfb07e87af8a7af73cff4e8aed29a642ce9b7e5ca901f3385df7a2e2671				
10	four-contains-or-unlabeled-zero	contains	four-contains-or-unlabeled	success	1	successful-latency	1612166	2261291	0.7129405282203839	0	173	21514b44bab7a7f1a700cdc7119f3ce1b4ea8304c84e402ddb5f9775b21dd8af				
11	four-contains-or-unlabeled-targeted	contains	four-contains-or-unlabeled	success	1	successful-latency	1096875	721916	1.519394223150616	200	112015	9f09930cd4aa7572add3e43b8434a4721a3b0f6622af359dc299310f9bbd7e96				
12	four-contains-or-unlabeled-dense	contains	four-contains-or-unlabeled	success	1	successful-latency	4247667	2632917	1.6132931649573459	200	99187	4288f8530cba49c2f9780fe900f62e94fc14fc44b47b140457d983d5fcd2dd5c				
13	four-contains-or-labeled-zero	contains	four-contains-or-labeled	success	1	successful-latency	1676583	2226959	0.752857596390414	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
14	four-contains-or-labeled-targeted	contains	four-contains-or-labeled	success	1	successful-latency	9207250	11473708	0.8024650792925879	200	86272	94ef562421942882b2562b2b8a3d6905607c166fc039d3daec1c50e988a8c0eb				
15	four-contains-or-labeled-dense	contains	four-contains-or-labeled	success	1	successful-latency	826084	590166	1.3997485453245357	200	82009	e65f72b24be32eccca575f0ae4151e8dee6e89e2971db9727071b046e14b3ea4				
16	starts-or-raw-zero	contains	starts-or-raw	success	1	successful-latency	139383625	218783875	0.6370836287637743	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
17	starts-or-raw-targeted	contains	starts-or-raw	success	1	successful-latency	40468125	61068916	0.6626632278850341	100	30972	a7b9846908febb502abd47dcc7269165df8c94605a7dcdc63931103d82b581a2				
18	starts-or-raw-dense	contains	starts-or-raw	success	1	successful-latency	631667	891500	0.7085440269209198	100	30214	0740bcf1983553477a227138dc3b3ed095f06c984728dcc1bbffb3b71959a13b				
19	ends-or-raw-zero	contains	ends-or-raw	success	1	successful-latency	140554834	217996791	0.6447564358871686	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
20	ends-or-raw-targeted	contains	ends-or-raw	success	1	successful-latency	22771333	185068625	0.12304264431639884	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
21	ends-or-raw-dense	contains	ends-or-raw	success	1	successful-latency	1959959	2173583	0.9017180388326556	100	26415	4293914be7e842e02606eeadfc7b0586191868e301451883db95dbd7efbd0963				
22	starts-or-wrapped-zero	wrapped	starts-or-wrapped	success	1	successful-latency	122135292	611325875	0.19978753884742734	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
23	starts-or-wrapped-targeted	wrapped	starts-or-wrapped	success	1	successful-latency	191902958	631058667	0.3040968582402815	100	33663	4019ab262ff47d06b6a1a9ec26de3964105a48177a5693ae58c1ccbe789292d6				
24	starts-or-wrapped-dense	wrapped	starts-or-wrapped	success	1	successful-latency	136359542	595069583	0.22914890274268984	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
25	ends-or-wrapped-zero	wrapped	ends-or-wrapped	success	1	successful-latency	31526750	613545166	0.051384562615884095	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
26	ends-or-wrapped-targeted	wrapped	ends-or-wrapped	success	1	successful-latency	30278208	619873916	0.048845752690132554	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
27	ends-or-wrapped-dense	wrapped	ends-or-wrapped	success	1	successful-latency	144326833	997446833	0.1446962667332465	100	27445	f69994db68ca9193f7b602b00273d35268080826366be899fd90877a4e6f4362				
28	contains-or-wrapped-zero	wrapped	contains-or-wrapped	success	1	successful-latency	937875	11093875	0.08453989250825343	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
29	contains-or-wrapped-targeted	wrapped	contains-or-wrapped	success	1	successful-latency	14305417	267023250	0.0535736757005242	200	85931	9b41620c5d38783d39c34332e17f7d0e079a6c8ce8e05707a2b9b976bc4a37fc				
30	contains-or-wrapped-dense	wrapped	contains-or-wrapped	success	1	successful-latency	115385875	1119389709	0.10307927084936244	200	86834	c9cfe78a2f725c44cb51d9d43076dc2a5602ac590ad0d35835c759432572a5cb				
31	graph-id-property-wrapped-contains-target-00-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1232625	1754000	0.7027508551881414	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
32	graph-id-property-wrapped-contains-target-00-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	952750	2223667	0.4284589374218352	10	5730	00c81103244dc6d42abdc3894d771e5a24957dcf7e5ad4d8dc686b1d7e0cb89e				
33	graph-id-property-wrapped-contains-target-00-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2680167	17409417	0.15394926780144333	200	84411	3bdee68309e62bee93f47848258ded90b1763d55841fa57d8b8fd21867653c44				
34	graph-id-property-wrapped-contains-target-01-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23876833	14181125	1.6837051362286137	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
35	graph-id-property-wrapped-contains-target-01-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	508125	2164000	0.23480822550831792	1	758	b33173a678013ac093c95f3fccc5cd5af96ea18082387e1fc872de4817e234b2				
36	graph-id-property-wrapped-contains-target-01-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2755167	19384000	0.14213614321089557	200	84093	d9daf98f04e06930dfeb91ddd4e8ae597b8f9154e54ac1018db6a25ea8ddd84f				
37	graph-id-property-wrapped-contains-target-02-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	54795125	13325042	4.112191541309963	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
38	graph-id-property-wrapped-contains-target-02-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	582875	2393834	0.2434901501106593	9	5751	0754b66fd035110585cc31e6af555127395a9cd85c413f0a859de6b596c3b70d				
39	graph-id-property-wrapped-contains-target-02-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2614708	17914292	0.14595653570903053	200	86930	a289774d080329d12351d967c614eae9b16190b55970a757b1f268e21aee3975				
40	graph-id-property-wrapped-contains-target-03-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	85764625	13997000	6.127357648067443	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
41	graph-id-property-wrapped-contains-target-03-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	515792	2415959	0.2134936892554882	2	1333	77f2da9b0b5a99e6332b957b281149f5e269d152177e36aaa74e86db4bc23bf9				
42	graph-id-property-wrapped-contains-target-03-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2845541	18548708	0.15340912154097203	200	85151	08fbf5fde8e917175e0dca625983535621218120265897bdd0781fe99669b859				
43	graph-id-property-wrapped-contains-target-04-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22790417	13023000	1.7500128234661751	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
44	graph-id-property-wrapped-contains-target-04-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	551875	2234375	0.246993006993007	9	5762	527d81de9e8ca9f5fe9ad0166e1e1711fbccaf3c53281e7e95375f6d55e3a3c7				
45	graph-id-property-wrapped-contains-target-04-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2511958	17122875	0.14670188271537343	200	86152	85d9bac3392391ae56f1f03af81d888f398336c8e33a1ef1e42c5409f746f730				
46	graph-id-property-wrapped-contains-target-05-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22073667	12812959	1.7227610733789127	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
47	graph-id-property-wrapped-contains-target-05-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	582000	2273708	0.2559695440223635	9	5751	48fbef6ae3373a73cfbd3690497aae4d0773c2f4ddadb5d217061398978bcac5				
48	graph-id-property-wrapped-contains-target-05-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2683625	17802791	0.15074181346059728	200	90860	57ae61ccbdbf1e83a9ab8de2923c4ac26bcc634ed53a2f1c1a3ee3682afe8cd8				
49	graph-id-property-wrapped-contains-target-06-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24694709	14621541	1.6889265638963773	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
