index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
0	request-selected-set-wrapped-contains-k64-group-00-zero	graph-set-reference	request-selected-set-wrapped-contains	success	1	successful-latency	15939084	79090417	0.20152990216248323	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
1	single-contains-unlabeled-zero	contains	single-contains-unlabeled	success	1	successful-latency	6703792	1630542	4.111388728410553	0	49	3ac63634ef061bbfd710d08a2153c866385b655741559497d76793f6c8d76e1a				
2	single-contains-unlabeled-targeted	contains	single-contains-unlabeled	success	1	successful-latency	18010666	71971334	0.25024777225888295	200	46966	187a62814fc87275955331a4cde38a147e1075c02ad5783005edd39f361863c0				
3	single-contains-unlabeled-dense	contains	single-contains-unlabeled	success	1	successful-latency	53159459	2072625	25.648372956998976	200	43486	f04c68d9d3fe27750516e393271bda65227db7f5fdf116b9a10f7b3d7d4068ff				
4	class-contains-or-unlabeled-zero	contains	class-contains-or-unlabeled	success	1	successful-latency	3770125	48969792	0.07698878933363654	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
5	class-contains-or-unlabeled-targeted	contains	class-contains-or-unlabeled	success	1	successful-latency	140654834	783816375	0.17944870569972463	200	83519	53f0c918dbe233f05eefcdf3e11b20da968aac6c4c4aa519a060b127d565daba				
6	class-contains-or-unlabeled-dense	contains	class-contains-or-unlabeled	success	1	successful-latency	89361875	646363875	0.13825320141847347	200	84622	c137e7938bacc81b3aa1233c728d8500839ed0ca85735ef7a589c901721364e1				
7	name-contains-or-unlabeled-zero	contains	name-contains-or-unlabeled	success	1	successful-latency	3439167	1662250	2.0689830049631524	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
8	name-contains-or-unlabeled-targeted	contains	name-contains-or-unlabeled	success	1	successful-latency	32527833	34103083	0.9538091614766911	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
9	name-contains-or-unlabeled-dense	contains	name-contains-or-unlabeled	success	1	successful-latency	1114625	566250	1.9684326710816777	200	82000	2a7acbfb07e87af8a7af73cff4e8aed29a642ce9b7e5ca901f3385df7a2e2671				
