gc 1 @0.002s 1%: 0.010+0.22+0.009 ms clock, 0.16+0.15/0.27/0.005+0.14 ms cpu, 4->4->3 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @0.013s 0%: 0.005+0.50+0.013 ms clock, 0.083+0.065/0.39/0+0.21 ms cpu, 8->8->3 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @0.017s 0%: 0.004+0.38+0.011 ms clock, 0.064+0.050/0.40/0+0.17 ms cpu, 6->6->4 MB, 7 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @0.023s 0%: 0.005+0.50+0.010 ms clock, 0.085+0.034/0.54/0.003+0.16 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @0.027s 0%: 0.005+0.40+0.015 ms clock, 0.082+0.10/0.54/0+0.24 ms cpu, 11->11->8 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @0.033s 0%: 0.006+0.37+0.009 ms clock, 0.11+0.044/0.61/0+0.15 ms cpu, 17->17->13 MB, 17 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @0.045s 0%: 0.011+0.52+0.011 ms clock, 0.17+0.057/0.57/0+0.18 ms cpu, 31->31->23 MB, 31 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @0.069s 0%: 0.008+0.96+0.031 ms clock, 0.13+0.059/3.2/2.0+0.50 ms cpu, 46->46->27 MB, 47 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @0.100s 0%: 0.010+2.1+0.011 ms clock, 0.16+0.070/6.0/1.7+0.17 ms cpu, 50->51->38 MB, 54 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @0.127s 1%: 0.012+2.7+0.003 ms clock, 0.19+0.80/10/2.3+0.052 ms cpu, 85->85->66 MB, 85 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @0.200s 1%: 0.016+5.7+0.17 ms clock, 0.26+0.050/21/45+2.8 ms cpu, 129->131->112 MB, 134 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @0.309s 1%: 0.019+7.3+0.012 ms clock, 0.30+2.4/28/58+0.20 ms cpu, 215->219->139 MB, 225 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @0.438s 1%: 0.019+11+0.008 ms clock, 0.31+0.053/45/104+0.14 ms cpu, 267->272->220 MB, 279 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @0.646s 1%: 0.022+16+0.015 ms clock, 0.36+0.063/62/143+0.24 ms cpu, 421->426->308 MB, 441 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @0.947s 1%: 0.021+25+0.011 ms clock, 0.33+0.037/99/249+0.17 ms cpu, 587->597->450 MB, 616 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @1.386s 1%: 0.020+33+0.010 ms clock, 0.33+0.065/132/341+0.17 ms cpu, 860->880->645 MB, 901 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @2.020s 1%: 0.023+50+0.012 ms clock, 0.38+0.33/198/508+0.19 ms cpu, 1227->1236->938 MB, 1291 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @2.946s 1%: 0.021+72+0.022 ms clock, 0.33+0.11/285/735+0.35 ms cpu, 1771->1791->1311 MB, 1876 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @4.212s 1%: 0.022+107+0.012 ms clock, 0.36+0.23/425/1072+0.19 ms cpu, 2490->2547->1962 MB, 2623 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @6.370s 1%: 0.027+141+0.019 ms clock, 0.44+0.048/562/1508+0.31 ms cpu, 3710->3776->2778 MB, 3924 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @9.494s 1%: 0.026+195+0.007 ms clock, 0.43+0.043/778/2132+0.11 ms cpu, 5253->5352->3996 MB, 5557 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 22 @14.191s 1%: 0.021+285+0.017 ms clock, 0.34+5.7/1139/3003+0.27 ms cpu, 7593->7712->5774 MB, 7994 MB goal, 0 MB stacks, 0 MB globals, 16 P
Graphite Go server (in development): http://localhost:18852
gc 23 @59.469s 0%: 0.048+305+0.14 ms clock, 0.76+0.32/1211/3304+2.2 ms cpu, 10978->11287->6291 MB, 11549 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 24 @62.435s 0%: 0.049+296+0.16 ms clock, 0.79+0.16/1185/3243+2.6 ms cpu, 11436->11741->6295 MB, 12583 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 25 @65.180s 0%: 0.046+300+0.16 ms clock, 0.75+0.11/1197/3267+2.7 ms cpu, 11443->11772->6324 MB, 12592 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 26 @67.935s 0%: 0.040+297+0.010 ms clock, 0.64+0.16/1190/3255+0.16 ms cpu, 11429->11753->6326 MB, 12650 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 27 @70.815s 0%: 0.15+299+0.13 ms clock, 2.4+0.25/1197/3278+2.1 ms cpu, 11431->11785->6363 MB, 12653 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 28 @73.641s 0%: 0.11+299+0.015 ms clock, 1.8+0.11/1196/3264+0.24 ms cpu, 11407->11740->6307 MB, 12727 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 29 @76.229s 0%: 0.10+294+0.012 ms clock, 1.6+0.10/1172/3190+0.19 ms cpu, 11305->11614->6303 MB, 12615 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 30 @78.797s 1%: 0.045+296+0.016 ms clock, 0.73+0.12/1183/3242+0.26 ms cpu, 11292->11616->6340 MB, 12607 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 31 @81.366s 1%: 0.043+296+0.016 ms clock, 0.69+0.15/1182/3184+0.26 ms cpu, 11359->11697->6368 MB, 12680 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 32 @83.970s 1%: 0.10+300+0.012 ms clock, 1.7+0.10/1197/3266+0.19 ms cpu, 11411->11771->6406 MB, 12737 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @86.583s 1%: 0.10+297+0.022 ms clock, 1.6+0.16/1189/3267+0.35 ms cpu, 11475->11810->6402 MB, 12814 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @89.194s 1%: 0.10+294+0.012 ms clock, 1.6+0.12/1173/3196+0.20 ms cpu, 11461->11808->6322 MB, 12805 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @91.733s 1%: 0.093+298+0.013 ms clock, 1.5+0.19/1190/3168+0.22 ms cpu, 11327->11667->6323 MB, 12645 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @94.332s 1%: 0.10+293+0.018 ms clock, 1.6+0.14/1171/3154+0.30 ms cpu, 11326->11674->6339 MB, 12647 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @96.887s 1%: 0.050+297+0.18 ms clock, 0.80+0.12/1187/3238+2.9 ms cpu, 11356->11709->6350 MB, 12679 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @99.455s 1%: 0.10+296+0.015 ms clock, 1.6+0.13/1182/3237+0.24 ms cpu, 11389->11758->6371 MB, 12702 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @102.018s 1%: 0.10+298+0.024 ms clock, 1.6+0.089/1190/3250+0.39 ms cpu, 11368->11717->6360 MB, 12744 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @157.930s 0%: 0.089+293+0.016 ms clock, 1.4+0.071/1172/3202+0.26 ms cpu, 11344->11523->6155 MB, 12722 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @162.912s 1%: 0.042+292+0.013 ms clock, 0.67+0.13/1168/3197+0.21 ms cpu, 10944->11114->6148 MB, 12311 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @167.986s 1%: 0.041+289+0.013 ms clock, 0.66+0.063/1155/3173+0.21 ms cpu, 10929->11099->6148 MB, 12296 MB goal, 0 MB stacks, 0 MB globals, 16 P
