  PID  %CPU    RSS COMM
    1   0.0  19424 /sbin/launchd
  306   0.0  23488 /usr/libexec/logd
  307   0.0   4928 /usr/libexec/smd
  308   0.0  17840 /usr/libexec/UserEventAgent
  310   0.0   4112 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  311   0.0   7328 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  312   0.0  16000 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  315   0.0  13520 /usr/sbin/systemstats
  317   0.0  11296 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  318   0.0  13888 /usr/libexec/configd
  319   0.0   1936 endpointsecurityd
  320   0.0  13024 /System/Library/CoreServices/powerd.bundle/powerd
  321   0.0   4656 /usr/libexec/IOMFB_bics_daemon
  322   0.0  11440 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  324   0.0   5072 /usr/libexec/amfid
  326   0.0   4176 /usr/libexec/remoted
  328   0.0   3808 /usr/libexec/keybagd
  331   0.0   4048 /usr/libexec/watchdogd
  335   0.0  32368 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  336   0.0   4736 /System/Library/CoreServices/iconservicesd
  337   0.0   8160 /usr/libexec/kernelmanagerd
  338   0.0   6208 /usr/libexec/diskarbitrationd
  341   0.0  23232 /usr/libexec/coreduetd
  342   0.0   1776 /usr/sbin/syslogd
  345   0.0   4160 /usr/libexec/thermalmonitord
  346   0.0  72672 /usr/libexec/opendirectoryd
  347   0.0  15856 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  348   0.2  20864 /System/Library/CoreServices/launchservicesd
  349   0.0   5072 /usr/libexec/timed
  350   0.0   6832 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  351   0.0   6896 /usr/sbin/securityd
  353   0.1  30512 /usr/libexec/locationd
  355   0.0   2640 autofsd
  356   0.0  20448 /usr/libexec/dasd
  358   0.0   3424 /usr/sbin/distnoted
  359   0.0   3888 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  361   0.0    432 /usr/libexec/dirhelper
  362   0.0   5184 /System/Library/CoreServices/logind
  363   0.0   7296 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  364   0.0   1744 /usr/sbin/KernelEventAgent
  365   0.0   4384 /usr/libexec/usermanagerd
  367   0.3  36560 /usr/sbin/bluetoothd
  368   0.0   3552 /usr/sbin/notifyd
  369   0.0   5632 /usr/libexec/sandboxd
  370   0.0  12944 /usr/libexec/corebrightnessd
  371   0.0  11248 /usr/libexec/AirPlayXPCHelper
  372   0.0  16128 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  373   0.0   1616 /usr/libexec/logd_helper
  374   5.1  98592 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  375   0.0   6640 /usr/sbin/cfprefsd
  376   0.0  15840 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  377   0.0  56480 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  378   0.0    512 aslmanager
  379   0.0  21664 /usr/libexec/runningboardd
  380   0.0  20992 /usr/libexec/lsd
  381   0.0  14896 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  382   0.0   4992 /System/Library/CoreServices/coreservicesd
  405   0.0  47904 /usr/sbin/coreaudiod
  415   0.0  16976 /usr/libexec/trustd
  416   0.0  27584 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  419   0.0   2304 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  421   0.0   2464 /usr/sbin/distnoted
  426   0.0   5664 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
  427   0.0  12000 /usr/libexec/PowerUIAgent
  428   0.0   2832 /System/Library/CoreServices/liquiddetectiond
  429   0.0   3856 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  431   0.0  14256 /usr/libexec/nsurlsessiond
  432   0.0   6736 /usr/libexec/nehelper
  433   0.0  24880 /usr/libexec/airportd
  434   0.0   5680 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  435   0.0   4608 /usr/libexec/usbd
  436   0.0   8496 /usr/libexec/biometrickitd
  441   0.0   6896 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  444   0.0   2048 /usr/sbin/distnoted
  445   0.0   2672 /usr/libexec/hidd
  447   0.0   2048 /usr/sbin/distnoted
  455   0.0   5024 /usr/libexec/secinitd
  456   0.0   3568 /usr/libexec/trustdFileHelper
  457   0.0  20240 /usr/libexec/symptomsd
  458   0.0  34944 /usr/libexec/mobileassetd
  459   0.0   2032 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  461   0.0   7088 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  462   0.0  14400 /usr/sbin/mDNSResponder
  463   0.0  10688 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  464   0.0   3616 /usr/libexec/containermanagerd_system
  474   0.0   2048 /usr/sbin/distnoted
  475   0.0  11600 /usr/libexec/storagekitd
  477   0.0  16288 /usr/libexec/wifip2pd
  479   0.0   4032 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  480   0.0   2368 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  482   0.0   5712 /usr/sbin/mDNSResponderHelper
  483   0.0   4480 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  485   0.0   7184 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  486   0.0   4352 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  487   0.0   9456 /System/Library/CoreServices/osanalyticshelper
  489   0.0   5152 /usr/libexec/audioclocksyncd
  492   0.0   3872 /usr/libexec/colorsync.displayservices
  493   0.0  31712 /usr/libexec/syspolicyd
  494   0.0  24880 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
