Darwin johnsonlee.local 23.3.0 Darwin Kernel Version 23.3.0: Wed Dec 20 21:31:10 PST 2023; root:xnu-10002.81.5~7/RELEASE_ARM64_T6031 arm64 arm Darwin
hw.memsize: 68719476736
hw.logicalcpu: 16
machdep.cpu.brand_string: Apple M3 Max
go version go1.22.0 darwin/arm64

  PID  %CPU    RSS COMM
    1   0.1  24208 /sbin/launchd
  306   0.3  39888 /usr/libexec/logd
  307   0.0   5776 /usr/libexec/smd
  308   0.0  18448 /usr/libexec/UserEventAgent
  310   0.0   4128 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  311   0.0   9904 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  312   0.0  16224 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  315   0.0  14080 /usr/sbin/systemstats
  317   0.0  11296 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  318   0.0  14480 /usr/libexec/configd
  319   0.0   1984 endpointsecurityd
  320   0.0  13936 /System/Library/CoreServices/powerd.bundle/powerd
  321   0.0   4656 /usr/libexec/IOMFB_bics_daemon
  322   0.0  13600 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  324   0.0   8288 /usr/libexec/amfid
  326   0.0   4176 /usr/libexec/remoted
  328   0.0   3808 /usr/libexec/keybagd
  331   0.0   4048 /usr/libexec/watchdogd
  335   0.0  38688 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  336   0.0   4736 /System/Library/CoreServices/iconservicesd
  337   0.0   8208 /usr/libexec/kernelmanagerd
  338   0.0   7040 /usr/libexec/diskarbitrationd
  341   0.0  26496 /usr/libexec/coreduetd
  342   0.0   2304 /usr/sbin/syslogd
  345   0.0   4176 /usr/libexec/thermalmonitord
  346   0.0  80400 /usr/libexec/opendirectoryd
  347   0.0  20096 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  348   0.0  22112 /System/Library/CoreServices/launchservicesd
  349   0.0   6592 /usr/libexec/timed
  350   0.0   6832 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  351   0.0   8176 /usr/sbin/securityd
  353   1.1  31312 /usr/libexec/locationd
  355   0.0   2640 autofsd
  356   0.0  21456 /usr/libexec/dasd
  358   0.0   3552 /usr/sbin/distnoted
  359   0.0   3888 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  361   0.0    432 /usr/libexec/dirhelper
  362   0.0   5184 /System/Library/CoreServices/logind
  363   0.0   7344 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  364   0.0   1744 /usr/sbin/KernelEventAgent
  365   0.0   5632 /usr/libexec/usermanagerd
  367   2.7  37088 /usr/sbin/bluetoothd
  368   0.1   3920 /usr/sbin/notifyd
  369   0.0   5680 /usr/libexec/sandboxd
  370   0.0  13312 /usr/libexec/corebrightnessd
  371   0.0  11344 /usr/libexec/AirPlayXPCHelper
  372   0.0  16160 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  373   0.0   1616 /usr/libexec/logd_helper
  374   3.7 113712 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  375   0.0   7968 /usr/sbin/cfprefsd
  376   0.0  23728 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  377   0.0  59856 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  378   0.0    592 aslmanager
  379   0.0  22384 /usr/libexec/runningboardd
  380   0.0  21696 /usr/libexec/lsd
  381   0.0  16480 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  382   0.0   6832 /System/Library/CoreServices/coreservicesd
  405   0.0  47952 /usr/sbin/coreaudiod
  415   0.0  19552 /usr/libexec/trustd
  416   0.0  30528 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  419   0.0   2304 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  421   0.0   2464 /usr/sbin/distnoted
  426   0.0   7232 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
  427   0.0  14288 /usr/libexec/PowerUIAgent
  428   0.0   3552 /System/Library/CoreServices/liquiddetectiond
  429   0.0   3856 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  431   0.0  16848 /usr/libexec/nsurlsessiond
  432   0.0   9040 /usr/libexec/nehelper
  433   0.0  25168 /usr/libexec/airportd
  434   0.0   5824 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  435   0.0   4608 /usr/libexec/usbd
  436   0.0   9936 /usr/libexec/biometrickitd
  441   0.0   6976 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  444   0.0   2048 /usr/sbin/distnoted
  445   0.0   3456 /usr/libexec/hidd
  447   0.0   2048 /usr/sbin/distnoted
  455   0.0   5056 /usr/libexec/secinitd
  456   0.0   3616 /usr/libexec/trustdFileHelper
  457   0.1  20544 /usr/libexec/symptomsd
  458   0.0  53072 /usr/libexec/mobileassetd
  459   0.0   2032 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  461   0.0  10144 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  462   0.5  15952 /usr/sbin/mDNSResponder
  463   0.0  11392 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  464   0.0   3648 /usr/libexec/containermanagerd_system
  474   0.0   2048 /usr/sbin/distnoted
  475   0.0  12368 /usr/libexec/storagekitd
  477   0.0  16512 /usr/libexec/wifip2pd
  479   0.0   5408 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  480   0.0   2368 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  482   0.0   5728 /usr/sbin/mDNSResponderHelper
  483   0.0   4512 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  485   0.0   7184 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  486   0.0   4352 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  487   0.0  10800 /System/Library/CoreServices/osanalyticshelper
  489   0.0   5216 /usr/libexec/audioclocksyncd
  492   0.0   3872 /usr/libexec/colorsync.displayservices
  493   0.0  48608 /usr/libexec/syspolicyd
  494   0.0  79584 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  495   0.0   4688 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  496   0.0   2880 /usr/libexec/cryptexd
  498   0.0   8176 /usr/sbin/appleh13camerad
  499   0.0   6944 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  500   0.0  10464 /usr/libexec/audioanalyticsd
  501   0.0  10544 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  502   0.0   3840 /System/Library/PrivateFrameworks/ZhuGeSupport.framework/Versions/A/XPCServices/ZhuGeService.xpc/Contents/MacOS/ZhuGeService
  503   0.0   2464 /usr/sbin/distnoted
  504   0.0  17152 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  505   0.0   2064 /usr/sbin/distnoted
  511   0.0   4976 /usr/libexec/secinitd
  512   0.0   2928 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  516   0.0   6720 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  517   0.0   6096 /usr/libexec/securityd_system
  518   0.0   2256 /usr/sbin/cfprefsd
  520   0.0   7776 /usr/libexec/trustd
  522   0.0   3584 /usr/libexec/containermanagerd
  523   0.0   8816 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  524   0.0  10592 /usr/sbin/WirelessRadioManagerd
  525   0.0   9328 /usr/libexec/findmybeaconingd
