File: profile-query
Type: cpu
Time: Sep 7, 2026 at 5:26am (KST)
Duration: 918.51ms, Total samples = 710ms (77.30%)
Showing nodes accounting for 710ms, 100% of 710ms total
Showing top 30 nodes out of 51
      flat  flat%   sum%        cum   cum%
     610ms 85.92% 85.92%      610ms 85.92%  runtime.madvise
      30ms  4.23% 90.14%       50ms  7.04%  runtime.mallocgc
      20ms  2.82% 92.96%       20ms  2.82%  runtime.mapaccess1_faststr
      10ms  1.41% 94.37%       10ms  1.41%  aeshashbody
      10ms  1.41% 95.77%       10ms  1.41%  internal/chacha8rand.block
      10ms  1.41% 97.18%       10ms  1.41%  runtime.(*fixalloc).alloc
      10ms  1.41% 98.59%       10ms  1.41%  runtime.memclrNoHeapPointers
      10ms  1.41%   100%       10ms  1.41%  runtime.pthread_cond_signal
         0     0%   100%       80ms 11.27%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCross
         0     0%   100%       30ms  4.23%  github.com/johnsonlee/graphite/graphite-server/internal/query.addProvenance
         0     0%   100%       20ms  2.82%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.aggregate
         0     0%   100%       10ms  1.41%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.bind
         0     0%   100%       80ms 11.27%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%       20ms  2.82%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.eval
         0     0%   100%       20ms  2.82%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.evaluateAggregate
         0     0%   100%       60ms  8.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.match
         0     0%   100%       60ms  8.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchMaterialized
         0     0%   100%       60ms  8.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchPattern
         0     0%   100%       40ms  5.63%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchPattern.func1
         0     0%   100%       60ms  8.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.nodeCandidates
         0     0%   100%       20ms  2.82%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.project
         0     0%   100%       80ms 11.27%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0%   100%       80ms 11.27%  main.main
         0     0%   100%       80ms 11.27%  main.profile
         0     0%   100%       80ms 11.27%  main.profile.func1
         0     0%   100%       10ms  1.41%  runtime.(*mcache).nextFree
         0     0%   100%       10ms  1.41%  runtime.(*mcache).refill
         0     0%   100%       10ms  1.41%  runtime.(*mcentral).cacheSpan
         0     0%   100%       10ms  1.41%  runtime.(*mcentral).grow
         0     0%   100%       10ms  1.41%  runtime.(*mheap).alloc
