File: graphite-go-stream-match-profile-final
Type: cpu
Time: Sep 7, 2026 at 4:35am (KST)
Duration: 918.26ms, Total samples = 660ms (71.88%)
Showing nodes accounting for 660ms, 100% of 660ms total
Showing top 25 nodes out of 68
      flat  flat%   sum%        cum   cum%
     440ms 66.67% 66.67%      440ms 66.67%  runtime.madvise
      60ms  9.09% 75.76%      120ms 18.18%  runtime.mallocgc
      20ms  3.03% 78.79%       20ms  3.03%  runtime.(*mspan).writeHeapBitsSmall
      20ms  3.03% 81.82%       20ms  3.03%  runtime.pthread_cond_signal
      20ms  3.03% 84.85%       20ms  3.03%  runtime.pthread_cond_wait
      10ms  1.52% 86.36%       20ms  3.03%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.eval
      10ms  1.52% 87.88%       10ms  1.52%  internal/chacha8rand.block
      10ms  1.52% 89.39%       10ms  1.52%  memeqbody
      10ms  1.52% 90.91%       10ms  1.52%  runtime.(*fixalloc).alloc
      10ms  1.52% 92.42%       30ms  4.55%  runtime.(*mcache).nextFree
      10ms  1.52% 93.94%       10ms  1.52%  runtime.(*sysMemStat).add
      10ms  1.52% 95.45%       20ms  3.03%  runtime.mapaccess1_faststr
      10ms  1.52% 96.97%       50ms  7.58%  runtime.mapassign_faststr
      10ms  1.52% 98.48%       10ms  1.52%  runtime.memmove
      10ms  1.52%   100%       10ms  1.52%  sort.stringsImpl
         0     0%   100%      170ms 25.76%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCross
         0     0%   100%       60ms  9.09%  github.com/johnsonlee/graphite/graphite-server/internal/query.addProvenance
         0     0%   100%       10ms  1.52%  github.com/johnsonlee/graphite/graphite-server/internal/query.clone (inline)
         0     0%   100%       20ms  3.03%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.aggregate
         0     0%   100%      170ms 25.76%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%      150ms 22.73%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.match
         0     0%   100%      150ms 22.73%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchMaterialized
         0     0%   100%      150ms 22.73%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchPattern
         0     0%   100%      130ms 19.70%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.matchPattern.func1
         0     0%   100%      150ms 22.73%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.nodeCandidates
