id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows-00	multi-keyword	or-four-broad-rows-00	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	76863417	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-00	multi-keyword	or-four-broad-distinct-00	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	182913583	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-01	multi-keyword	or-four-broad-rows-01	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	29669125	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-01	multi-keyword	or-four-broad-distinct-01	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	127724250	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-02	multi-keyword	or-four-broad-rows-02	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16610833	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-02	multi-keyword	or-four-broad-distinct-02	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	109898833	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-03	multi-keyword	or-four-broad-rows-03	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12426708	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-03	multi-keyword	or-four-broad-distinct-03	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	111491375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-04	multi-keyword	or-four-broad-rows-04	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12486834	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-04	multi-keyword	or-four-broad-distinct-04	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	109497375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-05	multi-keyword	or-four-broad-rows-05	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11431292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-05	multi-keyword	or-four-broad-distinct-05	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107940042	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-06	multi-keyword	or-four-broad-rows-06	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11084083	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-06	multi-keyword	or-four-broad-distinct-06	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107981209	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-07	multi-keyword	or-four-broad-rows-07	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	8967625	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-07	multi-keyword	or-four-broad-distinct-07	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107142750	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-08	multi-keyword	or-four-broad-rows-08	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11683958	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-08	multi-keyword	or-four-broad-distinct-08	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	105304125	fixture-android-00	64	per-query-cold	57697051	1	0
