id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-single-early-rows	multi-keyword	or-single-early-rows	properties	35837c544784abecbc5209e714322400177b187b7341a5830cdd7069a4cb0fb2	success	200	98ab8b3888fbfe23d1757ed2348194c5701c18d371cedd4beb75f665eee5aa5c	100734416	fixture-android-00	64	per-query-cold	1158842	1	0
or-single-early-distinct	multi-keyword	or-single-early-distinct	distinct-properties	0228c734627dfde1d56707f2f98be0913feaf4bd51d8bc110c5030a27e1ddaa6	success	200	6c8cc0b81657ec613fc85c0c26ccdf2d39cb9674f617ad0d44318771ad6ee3b9	293242375	fixture-android-00	64	per-query-cold	57725462	1	0
and-single-early-rows	multi-keyword	and-single-early-rows	properties	07640ed0ca63d8a8535c9dda054bedb96fa5b953586d9ce8c7fc03fef73742b9	success	200	1ae0f35e1944fc343d3fae7b7dd0e25c206c08f602de0b7eaf1eed8bf26ddd43	39818959	fixture-android-00	64	per-query-cold	1115413	1	0
and-single-early-distinct	multi-keyword	and-single-early-distinct	distinct-properties	d2243a03a95c9f8c6a833c44709734f86d561d6c1777fa9ae245c7f35441d842	success	50	bdc198459629cf993470282cb1db1d6b26265f16e0f2e54032dfd68a1fea750e	150148084	fixture-android-00	64	per-query-cold	57645747	1	0
or-single-middle-rows	multi-keyword	or-single-middle-rows	properties	2ed38d397baeade744ea179e1aba58507a20d215838bcd455e054c25e54bc6a4	success	200	3bd01b10601e5249ab5e18c5975374ab3fde6cd988b191d86d575e51316074ab	100824417	fixture-tika-15	64	per-query-cold	31181868	1	0
or-single-middle-distinct	multi-keyword	or-single-middle-distinct	distinct-properties	c22d00265e9fde3d423469f548e7602c35f0760cb3d8df1d90f7953e3832ecf6	success	200	3bd01b10601e5249ab5e18c5975374ab3fde6cd988b191d86d575e51316074ab	152733250	fixture-tika-15	64	per-query-cold	57706193	1	0
and-single-middle-rows	multi-keyword	and-single-middle-rows	properties	815aaae6bdacfc9613559c8ee2777ade5e59b9bfa5cb1eea04bbea2a1f1027a2	success	200	f612e9aeb2fb270a6b43aa980e11cb4b62890a4d37fdd5021b02c74a9a888492	93479875	fixture-tika-15	64	per-query-cold	31149593	1	0
and-single-middle-distinct	multi-keyword	and-single-middle-distinct	distinct-properties	a3000e0b4101ee30c2e845ae655cc168295ef667fbc76ebac1bbee5aba884ac3	success	200	4a01791c1af51302209d5f0957afd936186a4a5528a14ed7c8d8f3da1a9c9918	153515458	fixture-tika-15	64	per-query-cold	57648990	1	0
or-single-late-rows	multi-keyword	or-single-late-rows	properties	fa871eebdb2a9af26930bd151716b72cec3e11f5be1071f89359f18320161879	success	200	23ad1c2ec5bcb52656704428e3993d2940573f189ae63deb0a0554650c5185fd	147827833	fixture-kotlin-compiler-15	64	per-query-cold	57694678	1	0
or-single-late-distinct	multi-keyword	or-single-late-distinct	distinct-properties	6a16cf21041f24982b74e430a4dd68e57fbd8172cff3db7bfa1fc432bfc5e5cf	success	200	499764b872a1710207331df026d21dd67ba50064b92f25973c12a738ee4c3cca	145348709	fixture-kotlin-compiler-15	64	per-query-cold	57699420	1	0
and-single-late-rows	multi-keyword	and-single-late-rows	properties	e300b233d702f48847ac038ea4a0fc829dfa8864449f9b3812b93999ee93d5a3	success	29	77a06d5d75ffcabfd62c0438727a85910d6248dc2a40e30933899b43121f98e5	147144750	fixture-kotlin-compiler-15	64	per-query-cold	57645014	1	0
and-single-late-distinct	multi-keyword	and-single-late-distinct	distinct-properties	6c227d8405df2aae4994c5793ef37a862bc87bda363a86af55cefcf71fc9c1a1	success	21	97784c4161f78c286cb8649169845e11c34a225e8833a010ff0a23dcb1bba258	136092208	fixture-kotlin-compiler-15	64	per-query-cold	57645014	1	0
or-few-early-late-rows	multi-keyword	or-few-early-late-rows	properties	a022515913647030b4aa82ec6bae1e9c9886da2f7949f084224fca2233e5ab35	success	200	0d66da987904b69e1cc5c4666a557a1fd391cc44e04c30ad0c1340227253c02b	14808375	fixture-android-00	64	per-query-cold	1158755	1	0
or-few-early-late-distinct	multi-keyword	or-few-early-late-distinct	distinct-properties	1a411b991143e76acf628cb2b8fe5ed7f348f0266afd95325bae2f9e8cba9dcc	success	200	8da0f10dd828ec386e0020192ffd93accf98019a9c88d610ec35502889654202	148594667	fixture-android-00	64	per-query-cold	57724950	1	0
or-few-early-middle-rows	multi-keyword	or-few-early-middle-rows	properties	7d1a91335f86c11435d8857153ae8e4f0b690f360771ba3070cc3c2c67c3b7c0	success	200	0d66da987904b69e1cc5c4666a557a1fd391cc44e04c30ad0c1340227253c02b	14398292	fixture-android-00	64	per-query-cold	1158758	1	0
or-few-early-middle-distinct	multi-keyword	or-few-early-middle-distinct	distinct-properties	2a18b670661a1c4d388da58f24ad9105813b7ecb2ddb2bcd727e32b7fcc19bec	success	200	8da0f10dd828ec386e0020192ffd93accf98019a9c88d610ec35502889654202	148129333	fixture-android-00	64	per-query-cold	57724583	1	0
or-broad-all-rows	multi-keyword	or-broad-all-rows	properties	54ebdd36e78204da64cfdb008c194b3335f1a3ae8f4ffc6fd007b2e325980ca9	success	200	2fe460cf1e885829cacdedc85a5ca7e01a14018432c8520ede54aa0909bceee8	5154916	fixture-android-00	64	per-query-cold	503	1	0
or-broad-all-distinct	multi-keyword	or-broad-all-distinct	distinct-properties	e90a7b3ed948ee1dbd5505ddb42663d366a9050381a76914bafb028c4ea2e05b	success	200	b204d6916e239935315114f410555739f1c9828e6a59a0eab95c618b2a862647	190062125	fixture-android-00,fixture-tika-00	64	per-query-cold	58038455	1	0
