position	graphId	callSiteCount	fullQueryMatchingNodeCount	selectedTupleMatchingNodeCount	selectedTupleTrueHitCount	feasibleTupleCount	conservativelyExcluded
0	fixture-android-00	100606	23342	262	200	200	False
1	fixture-android-01	110875	26884	0	0	0	True
2	fixture-android-02	102233	24544	0	0	0	True
3	fixture-android-03	108305	25731	0	0	0	True
4	fixture-android-04	102157	23538	0	0	0	True
5	fixture-android-05	98095	23892	0	0	0	True
6	fixture-android-06	114190	28789	0	0	0	True
7	fixture-android-07	108587	27881	0	0	0	True
8	fixture-android-08	111032	29362	0	0	0	True
9	fixture-android-09	110050	27473	0	0	0	True
10	fixture-android-10	103391	26271	0	0	0	True
11	fixture-android-11	94712	25895	0	0	0	True
12	fixture-android-12	121945	29235	0	0	0	True
13	fixture-android-13	117348	29341	0	0	0	True
14	fixture-android-14	108560	27901	0	0	0	True
15	fixture-android-15	94748	23201	0	0	0	True
16	fixture-tika-00	55707	17912	12	11	11	False
17	fixture-tika-01	67073	22080	0	0	0	True
18	fixture-tika-02	60764	18369	0	0	0	True
19	fixture-tika-03	54516	16511	0	0	0	True
20	fixture-tika-04	65357	19602	0	0	0	True
21	fixture-tika-05	59823	18521	0	0	0	True
22	fixture-tika-06	58836	16988	0	0	0	True
23	fixture-tika-07	57832	17598	0	0	0	True
24	fixture-tika-08	63677	20969	0	0	0	True
25	fixture-tika-09	66311	20856	0	0	0	True
26	fixture-tika-10	68948	21755	0	0	0	True
27	fixture-tika-11	62554	17752	0	0	0	True
28	fixture-tika-12	62181	19489	0	0	0	True
29	fixture-tika-13	59606	18991	0	0	0	True
30	fixture-tika-14	59770	17941	0	0	0	True
31	fixture-tika-15	79133	25214	0	0	0	True
32	fixture-hive-00	102295	35803	0	0	0	True
33	fixture-hive-01	81185	27231	0	0	0	True
34	fixture-hive-02	96064	32017	0	0	0	True
35	fixture-hive-03	94421	33098	0	0	0	True
36	fixture-hive-04	86012	28467	0	0	0	True
37	fixture-hive-05	82642	27284	0	0	0	True
38	fixture-hive-06	86251	30552	0	0	0	True
39	fixture-hive-07	102028	31130	0	0	0	True
40	fixture-hive-08	99087	35118	0	0	0	True
41	fixture-hive-09	82759	27889	0	0	0	True
42	fixture-hive-10	79356	26159	0	0	0	True
43	fixture-hive-11	89373	27832	0	0	0	True
44	fixture-hive-12	93578	31379	0	0	0	True
45	fixture-hive-13	86013	30306	0	0	0	True
46	fixture-hive-14	88637	30506	0	0	0	True
47	fixture-hive-15	87946	28726	0	0	0	True
48	fixture-kotlin-compiler-00	59257	17759	0	0	0	True
49	fixture-kotlin-compiler-01	55092	16024	0	0	0	True
50	fixture-kotlin-compiler-02	52094	15908	0	0	0	True
51	fixture-kotlin-compiler-03	48917	14237	0	0	0	True
52	fixture-kotlin-compiler-04	59098	17585	0	0	0	True
53	fixture-kotlin-compiler-05	62560	19835	0	0	0	True
54	fixture-kotlin-compiler-06	52417	16379	0	0	0	True
55	fixture-kotlin-compiler-07	54757	17395	0	0	0	True
56	fixture-kotlin-compiler-08	59877	17412	0	0	0	True
57	fixture-kotlin-compiler-09	59459	17329	0	0	0	True
58	fixture-kotlin-compiler-10	64023	19413	0	0	0	True
59	fixture-kotlin-compiler-11	51565	15000	0	0	0	True
60	fixture-kotlin-compiler-12	54287	16933	0	0	0	True
61	fixture-kotlin-compiler-13	57490	18785	0	0	0	True
62	fixture-kotlin-compiler-14	56472	17618	0	0	0	True
63	fixture-kotlin-compiler-15	53001	14803	0	0	0	True
